URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/live/2023/10/08/world/israel-gaza-attack-hamas-news,1925,121,text/html
https://www.nytimes.com/sitemap/1944/,72,39,text/html
https://www.nytimes.com/2023/10/05/style/paris-fashion-week-spring-2024-streetwear.html,291,43,text/html
https://www.nytimes.com/section/arts/music,730,82,text/html
https://www.nytimes.com/sitemap/2016/02/,80,57,text/html
https://www.nytimes.com/sitemap/2008/,72,39,text/html
https://www.nytimes.com/2023/10/06/arts/airplanes-bad-behavior-fights.html,205,57,text/html
https://www.nytimes.com/2023/10/08/world/europe/sexual-assault-france-farid-el-hairy.html,276,39,text/html
https://www.nytimes.com/2021/11/19/business/economy/teamsters-sean-obrien-hoffa.html,222,41,text/html
https://www.nytimes.com/sitemap/1981/,72,39,text/html
https://www.nytimes.com/2023/10/06/business/economy/uaw-strike-automakers.html,221,40,text/html
https://www.nytimes.com/by/elena-shao,497,49,text/html
https://www.nytimes.com/2023/10/07/style/duplicate-substitute-wedding-engagement-rings.html,229,31,text/html
https://www.nytimes.com/sitemap/1953/,72,39,text/html
https://www.nytimes.com/sitemap/2016/04/,80,58,text/html
https://www.nytimes.com/2022/10/31/travel/sea-clown-sailing-circus.html,265,43,text/html
https://www.nytimes.com/newsletters,65,27,text/html
https://www.nytimes.com/2023/07/18/arts/music/tupac-shakur-investigation.html,184,40,text/html
https://www.nytimes.com/sitemap/1932/,72,39,text/html
https://www.nytimes.com/2023/10/08/opinion/international-world/israel-hamas-attack.html,205,38,text/html
https://www.nytimes.com/sitemap/2015/,72,39,text/html
https://www.nytimes.com/2023/09/12/nyregion/ny-jets-aaron-rodgers-injury-sports-fans.html,211,33,text/html
https://www.nytimes.com/2023/09/09/world/europe/ukraine-military-arms-dealer-pentagon.html,256,46,text/html
https://www.nytimes.com/sitemap/2012/11/,80,58,text/html
https://www.nytimes.com/2023/10/03/world/europe/russia-ukraine-elastic-defense-counteroffensive.html,212,46,text/html
https://www.nytimes.com/2023/09/20/us/politics/naral-name-change.html,194,42,text/html
https://www.nytimes.com/2023/10/04/health/kaiser-permanente-strike-health-care.html,258,42,text/html
https://www.nytimes.com/2023/09/29/us/state-courts-mental-illness.html,247,50,text/html
https://www.nytimes.com/2023/10/04/us/politics/house-speaker-replacement-jordan-scalise.html,217,47,text/html
https://www.nytimes.com/2023/10/07/arts/the-hidden-places-where-you-find-your-people.html,193,30,text/html
https://www.nytimes.com/interactive/2023/10/04/us/dianne-feinstein-death-san-francisco.html?shared=1,529,36,text/html
https://www.nytimes.com/2023/10/03/world/europe/biden-ukraine-aid.html,195,35,text/html
https://www.nytimes.com/games-assets/v2/assets/wordle/wordle_logo_32x32.png,0,0,image/png
https://www.nytimes.com/newsletters/california-today,81,29,text/html
https://www.nytimes.com/sitemap/2012/12/,80,59,text/html
https://www.nytimes.com/2023/05/19/us/politics/no-labels-president-manchin.html,223,46,text/html
https://www.nytimes.com/by/lisa-lerer,460,52,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2023%2F10%2F08%2Fnyregion%2Fnew-york-liberty-finals.html,1,4,application/json
https://www.nytimes.com/2023/10/02/world/europe/us-aid-ukraine-russia-war.html,203,42,text/html
https://www.nytimes.com/sitemap/2003/,72,39,text/html
https://www.nytimes.com/sitemap/2012/02/,80,57,text/html
https://www.nytimes.com/sitemap/1901/12/,80,59,text/html
https://www.nytimes.com/by/jill-cowan,486,50,text/html
https://www.nytimes.com/2023/10/04/magazine/esophagitis-allergic-inflammation.html,279,43,text/html
https://www.nytimes.com/sitemap/2012/04/,80,58,text/html
https://www.nytimes.com/2022/12/12/travel/maine-balsam-tippers.html,286,48,text/html
https://www.nytimes.com/sitemap/1899/,72,39,text/html
https://www.nytimes.com/sitemap/1859/,72,39,text/html
https://www.nytimes.com/2023/10/05/world/europe/ukraine-zelensky-elections-war.html,241,42,text/html
https://www.nytimes.com/sitemap/2016/05/,80,59,text/html
https://www.nytimes.com/sitemap/1941/,72,39,text/html
https://www.nytimes.com/interactive/2023/us/politics/presidential-candidates-2024.html,1123,49,text/html
https://www.nytimes.com/2023/05/21/sports/wnba-superteams-draft-rookies-waived-cut.html,229,52,text/html
https://www.nytimes.com/section/science,967,108,text/html
https://www.nytimes.com/sitemap/2016/07/,80,59,text/html
https://www.nytimes.com/2023/10/02/us/politics/putin-ukraine-spy-united-states.html,223,48,text/html
https://www.nytimes.com/2023/10/07/arts/design/harry-smith-whitney-review-artist-collector.html,256,36,text/html
https://www.nytimes.com/sitemap/1891/,72,39,text/html
https://www.nytimes.com/sitemap/1860/,72,39,text/html
https://www.nytimes.com/sitemap/1928/,72,39,text/html
https://www.nytimes.com/2023/10/06/arts/design/hidden-art-nyc.html,317,50,text/html
https://www.nytimes.com/2023/07/22/business/economy/ups-teamsters-strike.html,228,42,text/html
https://www.nytimes.com/sitemap/2012/06/,80,58,text/html
https://www.nytimes.com/sitemap/1921/02/,79,56,text/html
https://www.nytimes.com/es/2023/10/04/espanol/amlo-blinken-mexico.html,242,43,text/html
https://www.nytimes.com/1994/11/30/nyregion/rap-artist-tupac-shakur-shot-in-robbery.html,160,38,text/html
https://www.nytimes.com/2023/05/09/world/middleeast/islamic-jihad-israel-gaza.html,202,43,text/html
https://www.nytimes.com/sitemap/1901/02/,79,56,text/html
